Joint Name,Est. Coordinates X,Est. Coordinates Y,Joint Name,Act. Coordinates X,Act. Coordinates Y,Approx Error
LAnkle,218,364,left ankle,222.5,351.5,13.285330255586423
LEar,197,58,left ear,197.5,58.5,0.7071067811865476
LElbow,240,145,left elbow,245.0,155.0,11.180339887498949
LEye,182,51,left eye,188.5,54.5,7.3824115301167
LHip,211,197,left hip,213.0,216.0,19.1049731745428
LKnee,218,291,left knee,219.0,286.0,5.0990195135927845
LShoulder,218,102,left shoulder,229.5,96.5,12.747548783981962
LWrist,240,197,left wrist,245.5,189.5,9.300537618869138
Neck,182,102,neck,184.0,92.5,9.7082439194738
Nose,182,58,nose,182.5,60.5,2.5495097567963922
RAnkle,182,364,right ankle,181.5,350.0,14.0089257261219
REar,160,58,right ear,165.5,60.0,5.852349955359813
RElbow,138,153,right elbow,136.5,162.0,9.12414379544733
REye,175,51,right eye,174.5,54.5,3.5355339059327378
RHip,167,197,right hip,172.5,214.5,18.34393632784414
RKnee,167,284,right knee,172.5,286.0,5.852349955359813
RShoulder,145,109,right shoulder,147.5,100.5,8.860022573334675
RWrist,131,197,right wrist,133.5,196.0,2.692582403567252
 , , , , ,Average Error- ,8.851936992478509
