Joint Name,Est. Coordinates X,Est. Coordinates Y,Joint Name,Act. Coordinates X,Act. Coordinates Y,Approx Error
LAnkle,218,321,left ankle,221.5,318.5,4.301162633521313
LElbow,262,153,left elbow,262.0,149.5,3.5
LEye,240,43,left eye,239.0,51.0,8.06225774829855
LHip,226,211,left hip,239.0,235.0,27.294688127912362
LKnee,218,270,left knee,222.0,278.5,9.394147114027968
LShoulder,240,102,left shoulder,251.0,99.0,11.40175425099138
LWrist,277,175,left wrist,275.0,169.5,5.852349955359813
Neck,211,109,neck,224.5,100.0,16.224980739587952
Nose,233,51,nose,236.5,58.0,7.826237921249264
RAnkle,175,350,right ankle,179.0,342.5,8.5
REar,204,58,right ear,203.0,60.5,2.692582403567252
RElbow,153,153,right elbow,149.0,167.0,14.560219778561036
REye,226,51,right eye,227.0,51.5,1.118033988749895
RHip,189,211,right hip,200.0,235.5,26.85609800399157
RKnee,182,284,right knee,188.5,284.5,6.519202405202649
RShoulder,182,109,right shoulder,179.5,111.0,3.2015621187164243
 , , , , ,Average Error- ,9.83157982435859
